"time","biomass","schedule","regime"
547.6,0.0897045771166645,"Unfished reference","Oscillating (resource_decrease=0.005)"
547.8,0.100272864652147,"Unfished reference","Oscillating (resource_decrease=0.005)"
548,0.107803749386216,"Unfished reference","Oscillating (resource_decrease=0.005)"
548.2,0.110830013207083,"Unfished reference","Oscillating (resource_decrease=0.005)"
548.4,0.109189075075812,"Unfished reference","Oscillating (resource_decrease=0.005)"
548.6,0.105432440979236,"Unfished reference","Oscillating (resource_decrease=0.005)"
548.8,0.103205540060961,"Unfished reference","Oscillating (resource_decrease=0.005)"
549,0.103804680399954,"Unfished reference","Oscillating (resource_decrease=0.005)"
549.2,0.10637957143459,"Unfished reference","Oscillating (resource_decrease=0.005)"
549.4,0.109455510684485,"Unfished reference","Oscillating (resource_decrease=0.005)"
549.6,0.111660312269621,"Unfished reference","Oscillating (resource_decrease=0.005)"
549.8,0.11203330614673,"Unfished reference","Oscillating (resource_decrease=0.005)"
550,0.110063215470958,"Unfished reference","Oscillating (resource_decrease=0.005)"
550.2,0.105689519678251,"Unfished reference","Oscillating (resource_decrease=0.005)"
550.4,0.099405341979515,"Unfished reference","Oscillating (resource_decrease=0.005)"
550.6,0.0921636325491308,"Unfished reference","Oscillating (resource_decrease=0.005)"
550.8,0.084964570597482,"Unfished reference","Oscillating (resource_decrease=0.005)"
551,0.0784091631423108,"Unfished reference","Oscillating (resource_decrease=0.005)"
551.2,0.0725503963306886,"Unfished reference","Oscillating (resource_decrease=0.005)"
551.4,0.0671274987978595,"Unfished reference","Oscillating (resource_decrease=0.005)"
551.6,0.0619547574718924,"Unfished reference","Oscillating (resource_decrease=0.005)"
551.8,0.0571329901144357,"Unfished reference","Oscillating (resource_decrease=0.005)"
552,0.0530340665504418,"Unfished reference","Oscillating (resource_decrease=0.005)"
552.2,0.0502059803332067,"Unfished reference","Oscillating (resource_decrease=0.005)"
552.4,0.0492807068795722,"Unfished reference","Oscillating (resource_decrease=0.005)"
552.6,0.0508816365489652,"Unfished reference","Oscillating (resource_decrease=0.005)"
552.8,0.0554837387179935,"Unfished reference","Oscillating (resource_decrease=0.005)"
