"resource_decrease","capacity_mult","rel_amplitude","perturbed_verdict","error","species"
0.28480358684358,14.3374232887377,6.66761643409991e-13,"settled",NA,"cod"
0.533669923120631,14.3374232887377,2.71661684147842e-13,"settled",NA,"cod"
1,14.3374232887377,9.08358024842332e-14,"settled",NA,"cod"
0.001,20,9.42076996315455e-10,"settled",NA,"cod"
0.00187381742286038,20,4.96846641597256e-10,"settled",NA,"cod"
0.00351119173421513,20,2.63782655427092e-10,"settled",NA,"cod"
0.00657933224657568,20,1.40172962647829e-10,"settled",NA,"cod"
0.0123284673944207,20,7.36638603158845e-11,"settled",NA,"cod"
0.0231012970008316,20,3.71632877777886e-11,"settled",NA,"cod"
0.0432876128108306,20,1.68210861116286e-11,"settled",NA,"cod"
0.0811130830789687,20,6.06526463956494e-12,"settled",NA,"cod"
0.151991108295293,20,1.68829306375375e-12,"settled",NA,"cod"
0.28480358684358,20,5.86346263035399e-13,"settled",NA,"cod"
0.533669923120631,20,2.33584709171117e-13,"settled",NA,"cod"
1,20,5.62603517009213e-14,"settled",NA,"cod"
0.001,1,0.0501466005240547,"oscillating",NA,"anchovy"
0.00187381742286038,1,0.00122152388934825,"oscillating",NA,"anchovy"
0.00351119173421513,1,0.018719017912008,"oscillating",NA,"anchovy"
0.00657933224657568,1,0.325048136861765,"oscillating",NA,"anchovy"
0.0123284673944207,1,0.473697207821849,"oscillating",NA,"anchovy"
0.0231012970008316,1,0.49794461106595,"oscillating",NA,"anchovy"
0.0432876128108306,1,0.503418682842677,"oscillating",NA,"anchovy"
0.0811130830789687,1,0.504614014261054,"oscillating",NA,"anchovy"
0.151991108295293,1,0.503613463569066,"oscillating",NA,"anchovy"
0.28480358684358,1,0.499815996485295,"oscillating",NA,"anchovy"
0.533669923120631,1,0.49122254340232,"oscillating",NA,"anchovy"
1,1,0.474426406048531,"oscillating",NA,"anchovy"
0.001,1.39495079396242,0.00116254790497009,"oscillating",NA,"anchovy"
0.00187381742286038,1.39495079396242,4.34595609819329e-05,"oscillating",NA,"anchovy"
0.00351119173421513,1.39495079396242,3.59743547488949e-07,"settled",NA,"anchovy"
0.00657933224657568,1.39495079396242,3.10456913473318e-10,"settled",NA,"anchovy"
0.0123284673944207,1.39495079396242,4.69470495297282e-15,"settled",NA,"anchovy"
0.0231012970008316,1.39495079396242,3.9669194829345e-15,"settled",NA,"anchovy"
0.0432876128108306,1.39495079396242,2.8969824211878e-15,"settled",NA,"anchovy"
0.0811130830789687,1.39495079396242,3.80561818091597e-15,"settled",NA,"anchovy"
0.151991108295293,1.39495079396242,2.53867995254487e-15,"settled",NA,"anchovy"
0.28480358684358,1.39495079396242,2.70963427020502e-15,"settled",NA,"anchovy"
0.533669923120631,1.39495079396242,3.03670565659721e-15,"settled",NA,"anchovy"
1,1.39495079396242,3.39553966043018e-15,"settled",NA,"anchovy"
0.001,1.94588771757639,0.000422865603204997,"oscillating",NA,"anchovy"
0.00187381742286038,1.94588771757639,1.55913181877825e-05,"oscillating",NA,"anchovy"
0.00351119173421513,1.94588771757639,1.28022911490529e-07,"settled",NA,"anchovy"
0.00657933224657568,1.94588771757639,1.09829537999923e-10,"settled",NA,"anchovy"
0.0123284673944207,1.94588771757639,7.35329928709983e-15,"settled",NA,"anchovy"
0.0231012970008316,1.94588771757639,6.75333407504622e-15,"settled",NA,"anchovy"
0.0432876128108306,1.94588771757639,6.03922105814992e-15,"settled",NA,"anchovy"
0.0811130830789687,1.94588771757639,5.82210437798182e-15,"settled",NA,"anchovy"
0.151991108295293,1.94588771757639,5.77029513505314e-15,"settled",NA,"anchovy"
