"rel_amplitude","mean_yield","threshold_frac","threshold_bp","fish_level","schedule","mean_effort","background_level","effective_window","n_bursts","resource_decrease"
0.478908805841906,1.72379865837933e-05,0.25,2.16701480727288e-05,0.6,"Threshold (peaks)",0.51550536817892,0,4.19999999999999,6,0.005
1.02643053380502,2.51536039676748e-06,0.25,2.16701480727288e-05,0.6,"Threshold (troughs)",0.167130641981812,0,1.72,5,0.005
0.202574005068315,1.55309145327399e-05,0.35,2.71791058548242e-05,0.6,"Threshold (peaks)",0.49088198382599,0,3.51428571428571,7,0.005
1.09518976038626,3.18950570910441e-06,0.35,2.71791058548242e-05,0.6,"Threshold (troughs)",0.192323417876876,0,1.88,5,0.005
9.04685213072051e-06,5.51732537668005e-06,0.45,3.37974721473825e-05,0.6,"Threshold (peaks)",0.167454369921195,0,0,0,0.005
1.15653143874324,6.95006806836251e-06,0.45,3.37974721473825e-05,0.6,"Threshold (troughs)",0.346209042032138,0,3.47999999999999,5,0.005
0.327581974991004,5.08431896114324e-06,0.55,3.97164844932983e-05,0.6,"Threshold (peaks)",0.126962686622085,0,1.3,6,0.005
1.15769901823726,8.12275301712454e-06,0.55,3.97164844932983e-05,0.6,"Threshold (troughs)",0.374639267254416,0,3.75999999999999,5,0.005
0.481814289080288,4.59534725286099e-06,0.65,4.35911712764265e-05,0.6,"Threshold (peaks)",0.10444909212164,0,1.2,5,0.005
1.14600957841955,9.01754698451479e-06,0.65,4.35911712764265e-05,0.6,"Threshold (troughs)",0.399283470862025,0,3.99999999999999,5,0.005
0.59186695895511,4.06618807181695e-06,0.75,4.79822532650051e-05,0.6,"Threshold (peaks)",0.0844241511820862,0,0.799999999999999,6,0.005
1.12119038837819,1.0545779986372e-05,0.75,4.79822532650051e-05,0.6,"Threshold (troughs)",0.441341582274143,0,4.39999999999999,5,0.005
0.70074655442076,1.69769730715633e-06,0.85,5.48257820455267e-05,0.6,"Threshold (peaks)",0.0312283926690403,0,0.2,2,0.005
0.695773482207476,1.88493516865933e-05,0.85,5.48257820455267e-05,0.6,"Threshold (troughs)",0.599975014655797,0,30,1,0.005
0.756025509547703,5.48082991312942e-07,0.95,5.99760473436409e-05,0.6,"Threshold (peaks)",0.00936916496627995,0,0,0,0.005
0.695686734091623,1.88505582778869e-05,0.95,5.99760473436409e-05,0.6,"Threshold (troughs)",0.599999921158151,0,30,1,0.005
0.602482016807726,2.37698006974362e-05,0.05,1.63468270440339e-05,0.8,"Threshold (peaks)",0.780762899185663,0,30,1,0.005
0.938927214440045,1.65015808846286e-06,0.05,1.63468270440339e-05,0.8,"Threshold (troughs)",0.117158920474675,0,0.879999999999999,5,0.005
0.546588170351458,2.33993824203748e-05,0.15,1.81778376554505e-05,0.8,"Threshold (peaks)",0.76013877085381,0,30,1,0.005
1.01129154405305,2.29816618121594e-06,0.15,1.81778376554505e-05,0.8,"Threshold (troughs)",0.16621780746732,0,1.2,5,0.005
0.41460717790584,2.24042480597017e-05,0.25,2.16701480727288e-05,0.8,"Threshold (peaks)",0.719355050058395,0,4.66666666666666,6,0.005
1.10644063727617,2.78108616718285e-06,0.25,2.16701480727288e-05,0.8,"Threshold (troughs)",0.194696721236773,0,1.48,5,0.005
0.0345148300162483,2.22396843316169e-05,0.35,2.71791058548242e-05,0.8,"Threshold (peaks)",0.74947227178547,0,30,1,0.005
1.17260556438196,5.43617795336726e-06,0.35,2.71791058548242e-05,0.8,"Threshold (troughs)",0.340312031738357,0,2.52,5,0.005
6.35601955972798e-07,6.35935128019566e-06,0.45,3.37974721473825e-05,0.8,"Threshold (peaks)",0.194011430708189,0,0,0,0.005
1.23436270392692,8.89466266558792e-06,0.45,3.37974721473825e-05,0.8,"Threshold (troughs)",0.447255439749791,0,3.4,5,0.005
0.299209995564897,5.07979489104321e-06,0.55,3.97164844932983e-05,0.8,"Threshold (peaks)",0.128764790483266,0,0.699999999999999,6,0.005
1.22980229189348,1.06878872686785e-05,0.55,3.97164844932983e-05,0.8,"Threshold (troughs)",0.503124530530629,0,3.75999999999999,5,0.005
0.463325148873006,4.66416264156702e-06,0.65,4.35911712764265e-05,0.8,"Threshold (peaks)",0.107352543161012,0,0.759999999999999,5,0.005
1.21212465947371,1.16614086579613e-05,0.65,4.35911712764265e-05,0.8,"Threshold (troughs)",0.52682081365389,0,3.91999999999999,5,0.005
0.580595613180328,4.13921810351523e-06,0.75,4.79822532650051e-05,0.8,"Threshold (peaks)",0.0867991048995602,0,0.466666666666666,6,0.005
1.17459816359179,1.29352437054034e-05,0.75,4.79822532650051e-05,0.8,"Threshold (troughs)",0.545685742586418,0,4.07999999999999,5,0.005
0.694881657695426,1.79758793180084e-06,0.85,5.48257820455267e-05,0.8,"Threshold (peaks)",0.0332703225435811,0,0,0,0.005
0.649359020054425,2.39604026067561e-05,0.85,5.48257820455267e-05,0.8,"Threshold (troughs)",0.799999475422404,0,30,1,0.005
0.753207402765319,6.10430267061787e-07,0.95,5.99760473436409e-05,0.8,"Threshold (peaks)",0.0104710311960498,0,0,0,0.005
