"resource_decrease","capacity_mult","rel_amplitude","perturbed_verdict","error","lambda"
0.0123284673944207,1.94588771757639,6.9791711354376e-08,"settled",NA,2
0.0231012970008316,1.94588771757639,6.9791850294906e-08,"settled",NA,2
0.0432876128108306,1.94588771757639,6.97918382887778e-08,"settled",NA,2
0.0811130830789687,1.94588771757639,6.979183773173e-08,"settled",NA,2
0.151991108295293,1.94588771757639,6.9791837371271e-08,"settled",NA,2
0.28480358684358,1.94588771757639,6.97918371895652e-08,"settled",NA,2
0.533669923120631,1.94588771757639,6.97918368609169e-08,"settled",NA,2
1,1.94588771757639,6.97918368542789e-08,"settled",NA,2
0.001,2.71441761659491,1.10270435186862e-07,"settled",NA,2
0.00187381742286038,2.71441761659491,1.24023349642759e-07,"settled",NA,2
0.00351119173421513,2.71441761659491,1.27834968467979e-07,"settled",NA,2
0.00657933224657568,2.71441761659491,1.28333967665305e-07,"settled",NA,2
0.0123284673944207,2.71441761659491,1.28359252267927e-07,"settled",NA,2
0.0231012970008316,2.71441761659491,1.28359677114428e-07,"settled",NA,2
0.0432876128108306,2.71441761659491,1.28359684463168e-07,"settled",NA,2
0.0811130830789687,2.71441761659491,1.28359683618205e-07,"settled",NA,2
0.151991108295293,2.71441761659491,1.28359683188231e-07,"settled",NA,2
0.28480358684358,2.71441761659491,1.28359682969457e-07,"settled",NA,2
0.533669923120631,2.71441761659491,1.28359682937161e-07,"settled",NA,2
1,2.71441761659491,1.2835968292013e-07,"settled",NA,2
0.001,3.78647900941465,1.84825157849579e-07,"settled",NA,2
0.00187381742286038,3.78647900941465,2.04009789215005e-07,"settled",NA,2
0.00351119173421513,3.78647900941465,2.09326816961346e-07,"settled",NA,2
0.00657933224657568,3.78647900941465,2.10022858947172e-07,"settled",NA,2
0.0123284673944207,3.78647900941465,2.1005821719093e-07,"settled",NA,2
0.0231012970008316,3.78647900941465,2.10058777640236e-07,"settled",NA,2
0.0432876128108306,3.78647900941465,2.10058765202905e-07,"settled",NA,2
0.0811130830789687,3.78647900941465,2.10058767877635e-07,"settled",NA,2
0.151991108295293,3.78647900941465,2.10058769513957e-07,"settled",NA,2
0.28480358684358,3.78647900941465,2.10058770481502e-07,"settled",NA,2
0.533669923120631,3.78647900941465,2.10058771039896e-07,"settled",NA,2
1,3.78647900941465,2.10058771317078e-07,"settled",NA,2
0.001,5.281951900505,2.88825366049489e-07,"settled",NA,2
0.00187381742286038,5.281951900505,3.1558698271522e-07,"settled",NA,2
0.00351119173421513,5.281951900505,3.23003970507842e-07,"settled",NA,2
0.00657933224657568,5.281951900505,3.23974913954726e-07,"settled",NA,2
0.0123284673944207,5.281951900505,3.24024265219099e-07,"settled",NA,2
0.0231012970008316,5.281951900505,3.24025045941824e-07,"settled",NA,2
0.0432876128108306,5.281951900505,3.24025053010517e-07,"settled",NA,2
0.0811130830789687,5.281951900505,3.24025053545322e-07,"settled",NA,2
