"fish_level","mean_total","min_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","theta","interaction_resource","knife_edge_size"
5,0.482357484200959,0.206249597611169,0.00209951183866843,0.480257972362291,0.0392558410447007,0.992819965109096,0.7,1,7
9,0.402449380379879,0.0314437507578347,0.00199501117428064,0.400454369205599,0.0693496877372112,1.79426672145503,0.7,1,7
15,0.37445611322655,0.0273580097159339,0.000866087180178932,0.373590026046371,0.0783667781565986,1.79533534635611,0.7,1,7
20,0.325481099306027,0.0174443621185288,0.000472881433969876,0.325008217872057,0.0849980095742734,1.8498153442935,0.7,1,7
25,0.258050346620626,0.00887203090964965,0.000488004464509811,0.257562342156117,0.12831209677196,1.91240443267929,0.7,1,7
30,0.247915385498204,0.0142742767854241,0.000320199615910695,0.247595185882293,0.109555411668647,1.84512767425422,0.7,1,7
50,0.14500652895244,0.00744266136176151,0.000183165246346592,0.144823363706093,0.223859437383352,1.88004377214784,0.7,1,7
100,0.0602541645138072,0.0290311014296643,7.18281838048475e-05,0.0601823363300024,0.265315945620345,1.07380571542574,0.7,1,7
1,0.313498341778244,0.15208003362425,0.0138619183331505,0.299636423445094,0.0265193638092281,0.92796974180308,0.7,1.3,7
3,0.355452545907638,0.109027344744504,0.00848227071011647,0.346970275197521,0.0538356039231365,1.24830002944627,0.7,1.3,7
5,0.358132800709111,0.081926279515955,0.00545440446664868,0.352678396242462,0.0671288148170661,1.43195628829502,0.7,1.3,7
9,0.356899072531263,0.0545355532906747,0.00259815165911481,0.354300920872149,0.0786026644351324,1.60509475752426,0.7,1.3,7
15,0.348275692457261,0.0342952719759973,0.00113788818115694,0.347137804276104,0.084249232378551,1.72281260747434,0.7,1.3,7
20,0.313487784990307,0.0297370243613136,0.000576696956648082,0.312911088033659,0.0868908132167637,1.7356877273968,0.7,1.3,7
25,0.269524051823814,0.0163841800168147,0.000616176663229172,0.268907875160585,0.114811452900004,1.83558330891483,0.7,1.3,7
30,0.281606156150193,0.0143573730005471,0.000250839108377958,0.281355317041815,0.0920710031183352,1.8419249477117,0.7,1.3,7
50,0.17136254807636,0.0102186170227922,0.00017911136509091,0.171183436711269,0.180552879423794,1.84606580492018,0.7,1.3,7
100,0.0850395104073711,0.0486234038221725,0.000105702060010788,0.0849338083473603,0.367711766869812,0.831178011109419,0.7,1.3,7
1,0.264739987866448,0.262096739761243,0.00756689616302519,0.257173091703423,0.0307063740266701,0.0264718037101537,0.7,2,5
3,0.22313261160701,0.200140445167508,0.00447124090161546,0.218661370705395,0.0846050500333017,0.213099582576755,0.7,2,5
5,0.227577366202064,0.137818752054265,0.00346650265182809,0.224110863550236,0.113621967275419,0.744411316728582,0.7,2,5
9,0.295184528389978,0.0767240685503026,0.00179125975559263,0.293393268634385,0.100582071455597,1.34311096733534,0.7,2,5
15,0.294861361311123,0.0353516276156756,0.000731126418132493,0.294130234892991,0.104506334592116,1.6641485529156,0.7,2,5
20,0.267861810466612,0.0191066707982954,0.000354267257094654,0.267507543209517,0.101911192132536,1.79025259728498,0.7,2,5
25,0.240804191222949,0.0143475893366894,0.000192991889825411,0.240611199333124,0.111953551812877,1.81818144008941,0.7,2,5
30,0.193001323247479,0.00816650445548272,0.000175905701021234,0.192825417546458,0.143051734219043,1.87839293872818,0.7,2,5
50,0.100131052247915,0.00531668627755596,0.000123347610680353,0.100007704637234,0.30596673583305,1.87790643570084,0.7,2,5
100,0.0299100474713765,0.0299095446046995,4.78746442580228e-05,0.0298621728271185,0.319289756584838,2.55146119883487e-05,0.7,2,5
1,0.270692611183933,0.269143664939379,0.00843198481106195,0.262260626372871,0.0174408948816588,0.0191070261059065,0.7,2,7
