"time","biomass","method"
122.6,26330.5064435626,"project()"
122.8,26330.5070923553,"project()"
123,26330.5077387096,"project()"
123.2,26330.5083826323,"project()"
123.4,26330.5090241303,"project()"
123.6,26330.5096632106,"project()"
123.8,26330.5102998801,"project()"
124,26330.5109341459,"project()"
124.2,26330.5115660151,"project()"
124.4,26330.5121954946,"project()"
124.6,26330.5128225915,"project()"
124.8,26330.513447313,"project()"
125,26330.5140696662,"project()"
125.2,26330.5146896582,"project()"
125.4,26330.5153072962,"project()"
125.6,26330.5159225873,"project()"
125.8,26330.5165355389,"project()"
126,26330.5171461581,"project()"
126.2,26330.5177544521,"project()"
126.4,26330.5183604282,"project()"
126.6,26330.5189640937,"project()"
126.8,26330.5195654559,"project()"
127,26330.5201645221,"project()"
127.2,26330.5207612995,"project()"
127.4,26330.5213557955,"project()"
127.6,26330.5219480175,"project()"
127.8,26330.5225379728,"project()"
128,26330.5231256688,"project()"
128.2,26330.5237111127,"project()"
128.4,26330.5242943121,"project()"
128.6,26330.5248752742,"project()"
128.8,26330.5254540065,"project()"
129,26330.5260305164,"project()"
129.2,26330.5266048112,"project()"
129.4,26330.5271768983,"project()"
129.6,26330.5277467852,"project()"
129.8,26330.5283144793,"project()"
130,26330.528879988,"project()"
130.2,26330.5294433187,"project()"
130.4,26330.5300044788,"project()"
130.6,26330.5305634758,"project()"
130.8,26330.531120317,"project()"
131,26330.5316750099,"project()"
131.2,26330.5322275618,"project()"
131.4,26330.5327779803,"project()"
131.6,26330.5333262728,"project()"
131.8,26330.5338724465,"project()"
132,26330.534416509,"project()"
132.2,26330.5349584677,"project()"
132.4,26330.5354983299,"project()"
132.6,26330.5360361031,"project()"
132.8,26330.5365717946,"project()"
133,26330.5371054118,"project()"
133.2,26330.5376369621,"project()"
133.4,26330.5381664528,"project()"
133.6,26330.5386938914,"project()"
133.8,26330.5392192852,"project()"
134,26330.5397426415,"project()"
134.2,26330.5402639677,"project()"
134.4,26330.5407832712,"project()"
