"t","fish_level","selected","total"
43,15,0.000236497024962603,0.0146718288160604
43.2,15,4.5801433523969e-05,0.0812238253949799
43.4,15,0.000128948107254865,0.193709359339808
43.6,15,9.75616916273298e-05,0.254488951090755
43.8,15,3.75887927491185e-05,0.275010322888669
44,15,1.49975285345269e-05,0.277529448485365
20.2,18,0.000642630538512801,0.0726503189580724
20.4,18,0.000757567449756355,0.0547611137222123
20.6,18,0.000704003557474343,0.0707032256318463
20.8,18,0.000459038888048196,0.101125543472212
21,18,0.000477509689678858,0.107953898954617
21.2,18,0.00048698781428569,0.113276838609709
21.4,18,0.000417977380127613,0.11084807398514
21.6,18,0.000540098893375619,0.0870382322804539
21.8,18,0.000816456421791708,0.0653683859167462
22,18,0.000830682786310451,0.057319970170288
22.2,18,0.00076974560241961,0.0620079463652566
22.4,18,0.000599390836599477,0.0869337594731656
22.6,18,0.000454589549622887,0.116354620281302
22.8,18,0.000356214818333023,0.132172476463276
23,18,0.000302484511647313,0.131298824308409
23.2,18,0.000336777831613291,0.112694473932747
23.4,18,0.00056134425092394,0.0788630702261779
23.6,18,0.000956123796628337,0.0480756172132091
23.8,18,0.000893133522062358,0.0393247576714039
24,18,0.000596808814644436,0.0591073810700127
24.2,18,0.000450661511977181,0.102493897084977
24.4,18,0.000330870179803558,0.142265757869414
24.6,18,0.000214236168245003,0.158280102353381
24.8,18,0.000165185854899347,0.149250842426693
25,18,0.000223846211362953,0.116075188215571
25.2,18,0.000581735104243633,0.0665369782464469
25.4,18,0.00114098570422983,0.0295467433091855
25.6,18,0.000710658358871436,0.0262937013908343
25.8,18,0.000354792150025689,0.0610930403911277
26,18,0.000311389375443973,0.122597780952315
26.2,18,0.00022230791181531,0.166298376821074
26.4,18,0.000125666632205785,0.176652628754831
26.6,18,9.61719423990756e-05,0.158224314843831
26.8,18,0.000173588624315259,0.110617547285917
27,18,0.000719373374588018,0.0497777469186004
27.2,18,0.00115990587485093,0.0175176539911686
27.4,18,0.000429959558369253,0.0237528398944377
27.6,18,0.000215355048280768,0.0728731275026967
27.8,18,0.000237490761766347,0.142561320531543
28,18,0.000161687616808189,0.179168018366879
28.2,18,9.0928453705406e-05,0.179365757487418
28.4,18,8.53986007542603e-05,0.148651846804956
28.6,18,0.000248748847797829,0.0866944970168386
28.8,18,0.00110923262562716,0.0297602827042164
29,18,0.000828471232013416,0.0134214419410289
29.2,18,0.000242033389634018,0.0352717502592714
29.4,18,0.000194531808340505,0.101232191417178
29.6,18,0.000203596195585221,0.163610894654527
29.8,18,0.000121219821620004,0.183674244309863
30,18,7.83447642242368e-05,0.169896978785565
30.2,18,0.000116233540627035,0.123338043854743
30.4,18,0.000558068815671581,0.0547464303069004
30.6,18,0.00122793663263976,0.0168913946008373
30.8,18,0.000449623305810928,0.0181705465404103
31,18,0.000179045783975976,0.06189357715059
31.2,18,0.000211619027686403,0.135733781569752
31.4,18,0.00016394027005134,0.17817001151494
31.6,18,9.2700454110039e-05,0.18067784353013
31.8,18,8.23190231360211e-05,0.151300080617859
32,18,0.000227700946543652,0.0893328431647466
32.2,18,0.00108930971807373,0.0303055716052325
32.4,18,0.000842112609598815,0.0131345410292171
32.6,18,0.000246293276088061,0.0335019447316165
32.8,18,0.000188557104877605,0.0986666209892678
33,18,0.000202721921684472,0.162503082519087
33.2,18,0.000122703970612757,0.183535202046896
33.4,18,7.88668946534272e-05,0.170221802232531
33.6,18,0.000114988341768337,0.124151541926731
33.8,18,0.000545737089594217,0.0555145153603546
34,18,0.00123375109353151,0.017094217088582
34.2,18,0.000456679339911854,0.0179462612367381
34.4,18,0.000180023546062334,0.0610511162227031
34.6,18,0.000211437516731232,0.134910916043685
34.8,18,0.000165017213929692,0.177912601345751
35,18,9.32589161989642e-05,0.180821535689693
35.2,18,8.20261123583794e-05,0.151833161425212
35.4,18,0.000223361093008606,0.0902042422804779
35.6,18,0.00107762352075704,0.0307793572736476
35.8,18,0.000853539339652612,0.0131325337534698
36,18,0.000249478353023535,0.0329882124041396
36.2,18,0.00018803337772782,0.0977229258290548
36.4,18,0.000203443781176809,0.161977471422034
36.6,18,0.000123625873982221,0.18350650376373
36.8,18,7.90162681431227e-05,0.170583622990605
37,18,0.000113544509840935,0.12494203956021
37.2,18,0.000533934639202529,0.0562913985444714
37.4,18,0.00123857196246719,0.0173085124876276
37.6,18,0.000464328518462359,0.0177074404751746
37.8,18,0.000180533019870895,0.0602069109920757
