"D","alpha","beta","gamma","beta_gamma","B","Cc","disc","sum_positive","disc_nonneg","hopf_possible"
0.00844153459601299,0.0140692243266883,0.6,0.00281384486533766,0.0016883069192026,-0.00317867076525052,1.71022815205642e-05,-5.83051782483985e-05,TRUE,FALSE,FALSE
0.00884073340152507,0.0147345556692085,0.6,0.00294691113384169,0.00176814668030501,-0.00331918622984103,1.87580560984418e-05,-6.40152271654011e-05,TRUE,FALSE,FALSE
0.00925881025397396,0.0154313504232899,0.6,0.00308627008465799,0.00185176205079479,-0.00346539752570321,2.05741361565824e-05,-7.02875646151797e-05,TRUE,FALSE,FALSE
0.00969665789314553,0.0161610964885759,0.6,0.00323221929771518,0.00193933157862911,-0.00361748211754515,2.25660418312083e-05,-7.71779904540744e-05,TRUE,FALSE,FALSE
0.0101552112763457,0.0169253521272428,0.6,0.00338507042544856,0.00203104225526914,-0.00377561696590711,2.47507958561325e-05,-8.47478999512842e-05,TRUE,FALSE,FALSE
0.0106354495748601,0.0177257492914335,0.6,0.00354514985828671,0.00212708991497203,-0.00393997764200129,2.71470690382542e-05,-9.30648523335467e-05,TRUE,FALSE,FALSE
0.0111383982648262,0.0185639971080437,0.6,0.00371279942160874,0.00222767965296524,-0.00411073731730303,2.9775339817412e-05,-0.00010220319797778,TRUE,FALSE,FALSE
0.011665131316982,0.0194418855283033,0.6,0.00388837710566066,0.00233302626339639,-0.00428806561389714,3.26580692741841e-05,-0.000112244770387649,TRUE,FALSE,FALSE
0.0122167734899679,0.0203612891499465,0.6,0.00407225782998931,0.00244335469799359,-0.00447212730013944,3.5819893081244e-05,-0.000123279649736323,TRUE,FALSE,FALSE
0.0127945027320787,0.0213241712201312,0.6,0.00426483424402625,0.00255890054641575,-0.00466308081460602,3.92878320386809e-05,-0.000135407005471177,TRUE,FALSE,FALSE
0.0133995526965934,0.0223325878276557,0.6,0.00446651756553113,0.00267991053931868,-0.0048610765995574,4.3091522992508e-05,-0.000148736026263267,TRUE,FALSE,FALSE
0.0140332153760549,0.0233886922934248,0.6,0.00467773845868496,0.00280664307521097,-0.00506625522322544,4.72634721097783e-05,-0.000163386946452254,TRUE,FALSE,FALSE
0.0146968438611245,0.0244947397685408,0.6,0.00489894795370816,0.0029393687722249,-0.00527874526812126,5.18393326747854e-05,-0.000179492179093429,TRUE,FALSE,FALSE
0.0153918552299021,0.0256530920498368,0.6,0.00513061840996736,0.00307837104598041,-0.00549866096024343,5.68582097803833e-05,-0.000197197566765828,TRUE,FALSE,FALSE
0.0161197335738816,0.026866222623136,0.6,0.0053732445246272,0.00322394671477632,-0.00572609951151673,6.23629945183021e-05,-0.000216663762457416,TRUE,FALSE,FALSE
0.0168820331670036,0.0281367219450061,0.6,0.00562734438900121,0.00337640663340073,-0.00596113814499087,6.84007305244346e-05,-0.000238067754114073,TRUE,FALSE,FALSE
0.0176803817845721,0.0294673029742868,0.6,0.00589346059485736,0.00353607635691442,-0.00620383076925042,7.50230160115748e-05,-0.000261604547832801,TRUE,FALSE,FALSE
0.0185164841791216,0.0308608069652026,0.6,0.00617216139304052,0.00370329683582431,-0.00645420426510513,8.22864447253583e-05,-0.000287489026205732,TRUE,FALSE,FALSE
0.0193921257206583,0.0323202095344305,0.6,0.00646404190688611,0.00387842514413166,-0.00671225434391383,9.02530895917963e-05,-0.000315957999989795,TRUE,FALSE,FALSE
0.0203091762090474,0.033848627015079,0.6,0.00676972540301579,0.00406183524180947,-0.00697794093281302,9.89910331896326e-05,-0.000347272473096703,TRUE,FALSE,FALSE
0.0212695938666869,0.0354493231111449,0.6,0.00708986462222898,0.00425391877333739,-0.00725118303763642,0.000108574949580913,-0.000381720142878348,TRUE,FALSE,FALSE
