"t","total_biomass","on_frac","schedule","rel_amplitude"
33,0.642836738285936,0.999999978906047,"Threshold (troughs)",0.762595394719336
33.2,0.639824318968987,0.999999978315061,"Threshold (troughs)",0.762595394719336
33.4,0.636436884768904,0.999999977456956,"Threshold (troughs)",0.762595394719336
33.6,0.632608634698906,0.999999976259665,"Threshold (troughs)",0.762595394719336
33.8,0.628289905729868,0.999999974610545,"Threshold (troughs)",0.762595394719336
34,0.623400519908499,0.999999972345086,"Threshold (troughs)",0.762595394719336
34.2,0.617831387161546,0.999999969204444,"Threshold (troughs)",0.762595394719336
34.4,0.611476172633396,0.999999964744224,"Threshold (troughs)",0.762595394719336
34.6,0.604175775685386,0.999999958204313,"Threshold (troughs)",0.762595394719336
34.8,0.595723111765302,0.999999948219161,"Threshold (troughs)",0.762595394719336
35,0.585876105990458,0.999999932041093,"Threshold (troughs)",0.762595394719336
35.2,0.574286831394085,0.999999903664033,"Threshold (troughs)",0.762595394719336
35.4,0.560500546270983,0.999999848762392,"Threshold (troughs)",0.762595394719336
35.6,0.543928053193258,0.999999727499643,"Threshold (troughs)",0.762595394719336
35.8,0.523739556780066,0.999999404315096,"Threshold (troughs)",0.762595394719336
36,0.498818974807193,0.999998291287352,"Threshold (troughs)",0.762595394719336
36.2,0.467660035967978,0.999992844032017,"Threshold (troughs)",0.762595394719336
36.4,0.42827118325447,0.999948815493714,"Threshold (troughs)",0.762595394719336
36.6,0.378265842508426,0.999229209297327,"Threshold (troughs)",0.762595394719336
36.8,0.316236566565676,0.971931051846752,"Threshold (troughs)",0.762595394719336
37,0.294554184730563,5.77143740181546e-06,"Threshold (troughs)",0.762595394719336
37.2,0.325338463609574,9.07961129895725e-13,"Threshold (troughs)",0.762595394719336
37.4,0.361773790314089,1.20314302324034e-13,"Threshold (troughs)",0.762595394719336
37.6,0.406435409428481,3.89822527363452e-12,"Threshold (troughs)",0.762595394719336
37.8,0.452540574833367,5.92274638371234e-10,"Threshold (troughs)",0.762595394719336
38,0.493708442158845,8.37628448011243e-08,"Threshold (troughs)",0.762595394719336
38.2,0.528322495364564,6.24410231583201e-06,"Threshold (troughs)",0.762595394719336
38.4,0.557325621186478,0.000217340123612675,"Threshold (troughs)",0.762595394719336
38.6,0.581780129295359,0.00387044870794952,"Threshold (troughs)",0.762595394719336
38.8,0.600444907616181,0.0668527158980559,"Threshold (troughs)",0.762595394719336
39,0.571415388811277,0.999994709993855,"Threshold (troughs)",0.762595394719336
39.2,0.576190450328121,0.999999938960855,"Threshold (troughs)",0.762595394719336
39.4,0.591809458313252,0.999999964388564,"Threshold (troughs)",0.762595394719336
39.6,0.606269773452586,0.999999966215293,"Threshold (troughs)",0.762595394719336
39.8,0.618289938043262,0.999999966636638,"Threshold (troughs)",0.762595394719336
40,0.628043743830525,0.9999999671742,"Threshold (troughs)",0.762595394719336
40.2,0.635848923498346,0.999999967880167,"Threshold (troughs)",0.762595394719336
40.4,0.64201035634941,0.999999968712081,"Threshold (troughs)",0.762595394719336
40.6,0.646800585490171,0.999999969631959,"Threshold (troughs)",0.762595394719336
40.8,0.65045637045842,0.999999970606706,"Threshold (troughs)",0.762595394719336
41,0.653177584581716,0.999999971607203,"Threshold (troughs)",0.762595394719336
41.2,0.655130167015765,0.999999972608386,"Threshold (troughs)",0.762595394719336
41.4,0.656451932461117,0.999999973589213,"Threshold (troughs)",0.762595394719336
41.6,0.657251058490206,0.999999974532232,"Threshold (troughs)",0.762595394719336
41.8,0.657613549165185,0.999999975423019,"Threshold (troughs)",0.762595394719336
42,0.657611510385121,0.999999976249709,"Threshold (troughs)",0.762595394719336
42.2,0.657292678886444,0.999999977002218,"Threshold (troughs)",0.762595394719336
42.4,0.656694468903687,0.999999977671844,"Threshold (troughs)",0.762595394719336
42.6,0.655849943942183,0.999999978251009,"Threshold (troughs)",0.762595394719336
42.8,0.654767699955905,0.999999978732076,"Threshold (troughs)",0.762595394719336
43,0.653456523643732,0.999999979107188,"Threshold (troughs)",0.762595394719336
43.2,0.651924128146789,0.99999997936845,"Threshold (troughs)",0.762595394719336
43.4,0.650151708481821,0.999999979505515,"Threshold (troughs)",0.762595394719336
43.6,0.648129305678179,0.999999979504848,"Threshold (troughs)",0.762595394719336
43.8,0.645844623142027,0.999999979350623,"Threshold (troughs)",0.762595394719336
44,0.643256747748135,0.999999979019991,"Threshold (troughs)",0.762595394719336
