"t","total","selected","juvenile","knife_edge_size","fish_level"
21.2,0.30995609053626,0.000271418647432427,0.309684671888827,10,100
21.4,0.284031385405078,0.000373519159722491,0.283657866245355,10,100
21.6,0.253366133005621,0.000661080492809903,0.252705052512811,10,100
21.8,0.211869236480659,0.00163330651730031,0.210235929963359,10,100
22,0.138795654579257,0.00481139220349067,0.133984262375766,10,100
22.2,0.0270831514752614,0.00433803835094579,0.0227451131243156,10,100
22.4,0.0324574557047395,4.95203103102798e-05,0.0324079353944292,10,100
22.6,0.153237508058418,8.18184911357693e-05,0.153155689567282,10,100
22.8,0.295473956968891,0.000236526147931521,0.29523743082096,10,100
23,0.369898609988987,0.000320867932764857,0.369577742056222,10,100
23.2,0.409279355151197,0.000365611483738822,0.408913743667458,10,100
23.4,0.431810922321703,0.000384303182206212,0.431426619139497,10,100
23.6,0.4439559074001,0.000386361816059416,0.44356954558404,10,100
23.8,0.449014198035551,0.000378461090646415,0.448635736944905,10,100
24,0.448952484541488,0.00036474427439791,0.44858774026709,10,100
24.2,0.445014709506206,0.000347726192439102,0.444666983313767,10,100
24.4,0.438018962034985,0.000328993226332043,0.437689968808653,10,100
24.6,0.428520897671778,0.000309665576435857,0.428211232095342,10,100
24.8,0.41690422410478,0.000290699353491935,0.416613524751288,10,100
25,0.403429397458298,0.0002731010778896,0.403156296380408,10,100
25.2,0.388257786027037,0.000258119423784067,0.387999666603253,10,100
25.4,0.371459993409397,0.000247510138039613,0.371212483271357,10,100
25.6,0.353010477241935,0.000244088027025281,0.35276638921491,10,100
25.8,0.332762306277561,0.00025316844740953,0.332509137830151,10,100
26,0.310376850562462,0.000286861566492189,0.310089988995969,10,100
26.2,0.28512177279718,0.000378756587653266,0.284743016209526,10,100
26.4,0.255195468459157,0.000642632440769288,0.254552836018388,10,100
26.6,0.215055165041374,0.00152824124615828,0.213526923795215,10,100
26.8,0.14562676800085,0.00449019704410939,0.141136570956741,10,100
27,0.0328875081242284,0.00493784086997782,0.0279496672542506,10,100
27.2,0.0280998928613097,7.33706404507891e-05,0.0280265222208589,10,100
27.4,0.141708088560163,7.3230145417272e-05,0.141634858414746,10,100
27.6,0.287674347458462,0.000229355620432225,0.28744499183803,10,100
27.8,0.366024235110524,0.000317437997217835,0.365706797113306,10,100
28,0.407032952503911,0.000364015941965744,0.406668936561946,10,100
28.2,0.43047776969733,0.000383962951435442,0.430093806745895,10,100
28.4,0.443219960577438,0.000386783265417644,0.44283317731202,10,100
28.6,0.448696058676718,0.000379325449550535,0.448316733227167,10,100
28.8,0.448940815945283,0.000365858938381598,0.448574957006901,10,100
29,0.44523718718593,0.000348974096944079,0.444888213088986,10,100
29.2,0.438426810920313,0.000330297761791126,0.438096513158522,10,100
29.4,0.429080285316493,0.000310967869617266,0.428769317446875,10,100
29.6,0.417591502466165,0.000291943275455596,0.417299559190709,10,100
29.8,0.404228543391221,0.000274221946660186,0.403954321444561,10,100
30,0.389159158519587,0.000259032367542752,0.388900126152044,10,100
30.2,0.372459974973564,0.000248090726031858,0.372211884247532,10,100
30.4,0.354112014073649,0.000244126005792892,0.353867888067857,10,100
30.6,0.333977036849872,0.000252238496503522,0.333724798353369,10,100
30.8,0.311731231508653,0.000283917857623243,0.31144731365103,10,100
31,0.286675812012546,0.000370663850183667,0.286305148162362,10,100
31.2,0.257110092792666,0.000617979795982944,0.256492112996683,10,100
31.4,0.217869790253998,0.00144083490217241,0.216428955351825,10,100
31.6,0.151084804341367,0.00423807248932647,0.146846731852041,10,100
31.8,0.0381492660510174,0.00537456922608994,0.0327746968249275,10,100
32,0.0249612202187597,0.000101030336415008,0.0248601898823447,10,100
