"t","total","selected","juvenile","fish_level"
25.4,3.09458757580187e-11,4.13331934207255e-19,3.09458753446868e-11,5
25.6,2.97856445187468e-11,3.83401684825755e-19,2.97856441353451e-11,5
25.8,2.86699469125751e-11,3.55787712121188e-19,2.86699465567874e-11,5
26,2.75970282372655e-11,3.30299200533469e-19,2.75970279069663e-11,5
26.2,2.65652049572186e-11,3.06762010167271e-19,2.65652046504566e-11,5
26.4,2.55728617239549e-11,2.85017135532892e-19,2.55728614389378e-11,5
26.6,2.46184485257815e-11,2.64919314533682e-19,2.46184482608622e-11,5
26.8,2.37004779608193e-11,2.46335772290419e-19,2.37004777144835e-11,5
27,2.28175226278412e-11,2.29145086052043e-19,2.28175223986961e-11,5
27.2,2.19682126296322e-11,2.13236158914044e-19,2.19682124163961e-11,5
27.4,2.115123318383e-11,1.98507291372689e-19,2.11512329853227e-11,5
27.6,2.03653223364424e-11,1.84865340904474e-19,2.0365322151577e-11,5
27.8,1.96092687734593e-11,1.72224960792607e-19,1.96092686012344e-11,5
28,1.88819097261941e-11,1.60507910341077e-19,1.88819095656862e-11,5
28.2,1.81821289661867e-11,1.49642429434784e-19,1.81821288165442e-11,5
28.4,1.75088548856992e-11,1.39562671133093e-19,1.75088547461365e-11,5
28.6,1.68610586600149e-11,1.30208186633983e-19,1.68610585298067e-11,5
28.8,1.62377524879261e-11,1.21523457525762e-19,1.62377523664027e-11,5
29,1.56379879069645e-11,1.13457470760951e-19,1.56379877935071e-11,5
29.2,1.50608541800843e-11,1.0596333224938e-19,1.5060854074121e-11,5
29.4,1.45054767506588e-11,9.89979153809373e-20,1.45054766516609e-11,5
29.6,1.39710157627961e-11,9.25215411581988e-20,1.39710156702746e-11,5
29.8,1.34566646441137e-11,8.64976869501572e-20,1.3456664557616e-11,5
30,1.2961648748244e-11,8.08927211747034e-20,1.29616486673513e-11,5
30.2,1.24852240544653e-11,7.56756614831838e-20,1.24852239787897e-11,5
30.4,1.20266759219715e-11,7.08179542585719e-20,1.20266758511535e-11,5
30.6,1.15853178964045e-11,6.62932734525363e-20,1.15853178301112e-11,5
30.8,1.11604905663839e-11,6.2077336978582e-20,1.11604905043066e-11,5
31,1.07515604678666e-11,5.81477390508094e-20,1.07515604097189e-11,5
31.2,1.03579190342683e-11,5.44837970127745e-20,1.03579189797845e-11,5
31.4,9.97898159037224e-12,5.10664113402576e-20,9.97898153930583e-12,5
31.6,9.61418638813742e-12,4.78779376271257e-20,9.61418634025948e-12,5
31.8,9.26299368260308e-12,4.49020694763468e-20,9.26299363770101e-12,5
32,8.92488484616788e-12,4.21237313198917e-20,8.92488480404415e-12,5
32.2,8.59936151959721e-12,3.95289802829032e-20,8.59936148006822e-12,5
32.4,8.28594479818616e-12,3.71049162901489e-20,8.28594476108124e-12,5
32.6,7.98417445157525e-12,3.48395996873411e-20,7.98417441673565e-12,5
32.8,7.69360817578226e-12,3.272197571721e-20,7.69360814306028e-12,5
33,7.41382087607715e-12,3.07418052510124e-20,7.41382084533535e-12,5
33.2,7.14440397938785e-12,2.88896012310908e-20,7.14440395049825e-12,5
33.4,6.88496477498183e-12,2.71565703297647e-20,6.88496474782526e-12,5
33.6,6.63512578222427e-12,2.55345593747588e-20,6.63512575668971e-12,5
33.8,6.39452414426569e-12,2.4016006132035e-20,6.39452412024968e-12,5
34,6.16281104656244e-12,2.25938940737023e-20,6.16281102396855e-12,5
34.2,5.93965115918128e-12,2.12617107920313e-20,5.93965113791957e-12,5
34.4,5.72472210188508e-12,2.00134097508186e-20,5.72472208187167e-12,5
34.6,5.51771393104046e-12,1.88433750927548e-20,5.51771391219708e-12,5
34.8,5.31832864742977e-12,1.77463892463077e-20,5.31832862968338e-12,5
35,5.12627972408979e-12,1.67176030981934e-20,5.12627970737219e-12,5
35.2,4.94129165333753e-12,1.57525085179983e-20,4.94129163758502e-12,5
35.4,4.76309951217988e-12,1.48469130401203e-20,4.76309949733297e-12,5
35.6,4.59144854533858e-12,1.39969165251144e-20,4.59144853134166e-12,5
35.8,4.42609376515515e-12,1.31988896379005e-20,4.42609375195626e-12,5
36,4.26679956767212e-12,1.24494539942832e-20,4.26679955522267e-12,5
36.2,4.11333936421711e-12,1.17454638399591e-20,4.11333935247164e-12,5
36.4,3.9654952278453e-12,1.1083989137774e-20,3.96549521676131e-12,5
36.6,3.82305755402351e-12,1.04622999495492e-20,3.82305754356121e-12,5
36.8,3.68582473496539e-12,9.87785200841021e-21,3.68582472508754e-12,5
37,3.55360284705262e-12,9.3282733863185e-21,3.55360283772435e-12,5
37.2,3.42620535080097e-12,8.81135216949813e-21,3.42620534198961e-12,5
37.4,3.30345280285337e-12,8.32502506174482e-21,3.30345279452834e-12,5
37.6,3.18517257950398e-12,7.86736684225768e-21,3.18517257163661e-12,5
37.8,3.07119861127842e-12,7.43658061071242e-21,3.07119860384184e-12,5
38,2.96137112811543e-12,7.0309887578442e-21,2.96137112108444e-12,5
38.2,2.85553641471464e-12,6.64902460488027e-21,2.85553640806561e-12,5
38.4,2.75354657563329e-12,6.28922465979841e-21,2.75354656934406e-12,5
38.6,2.65525930973266e-12,5.9502214426268e-21,2.65525930378244e-12,5
38.8,2.5605376935916e-12,5.63073683587845e-21,2.56053768796086e-12,5
39,2.46924997352076e-12,5.32957591976349e-21,2.46924996819118e-12,5
39.2,2.38126936582653e-12,5.04562125507065e-21,2.38126936078091e-12,5
39.4,2.29647386498852e-12,4.77782757958577e-21,2.29647386021069e-12,5
39.6,2.21474605942826e-12,4.52521688664104e-21,2.21474605490305e-12,5
39.8,2.13597295456073e-12,4.28687385688732e-21,2.13597295027385e-12,5
40,2.06004580283272e-12,4.06194161667267e-21,2.06004579877078e-12,5
40.2,1.98685994046496e-12,3.84961779851118e-21,1.98685993661534e-12,5
40.4,1.91631463062614e-12,3.64915088105395e-21,1.91631462697699e-12,5
40.6,1.84831291277896e-12,3.45983678774315e-21,1.84831290931912e-12,5
40.8,1.78276145794844e-12,3.28101572495444e-21,1.78276145466743e-12,5
41,1.71957042967382e-12,3.11206924192503e-21,1.71957042656175e-12,5
41.2,1.65865335041461e-12,2.95241749613498e-21,1.65865334746219e-12,5
41.4,1.59992697319149e-12,2.80151670906973e-21,1.59992697038998e-12,5
41.6,1.5433111582513e-12,2.65885679844916e-21,1.54331115559244e-12,5
41.8,1.48872875455439e-12,2.52395917407428e-21,1.48872875203043e-12,5
42,1.43610548589094e-12,2.3963746854224e-21,1.43610548349456e-12,5
42.2,1.38536984144057e-12,2.27568171002323e-21,1.38536983916489e-12,5
42.4,1.33645297059754e-12,2.16148437247884e-21,1.33645296843606e-12,5
42.6,1.28928858189091e-12,2.05341088475471e-21,1.2892885798375e-12,5
42.8,1.24381284583611e-12,1.95111199907356e-21,1.243812843885e-12,5
43,1.19996430156119e-12,1.85425956539222e-21,1.19996429970693e-12,5
43.2,1.15768376705719e-12,1.76254518604045e-21,1.15768376529464e-12,5
43.4,1.11691425290857e-12,1.6756789606518e-21,1.11691425123289e-12,5
43.6,1.0776008793652e-12,1.59338831502547e-21,1.07760087777181e-12,5
43.8,1.03969079662325e-12,1.51541690802724e-21,1.03969079510784e-12,5
44,1.0031331081878e-12,1.44152361107108e-21,1.00313310674627e-12,5
0,0.0123393149976886,0.00509146475862765,0.0072478502390609,10
1,0.065266774236009,0.00237076876721817,0.0628960054687909,10
2,0.0439402658805124,0.000305832769301429,0.0436344331112109,10
3,0.0329561009213695,4.9945610025085e-05,0.0329061553113444,10
4,0.0256246023923193,1.10444761314285e-05,0.0256135579161879,10
5,0.0202266724094332,3.03533075077127e-06,0.0202236370786825,10
6,0.016098038404821,9.76762649358749e-07,0.0160970616421716,10
7,0.0128814987292268,3.56073022214204e-07,0.0128811426562046,10
8,0.0103486326478962,1.43583828820747e-07,0.0103484890640674,10
9,0.00833997994341448,6.27286301461883e-08,0.00833991721478433,10
10,6.73885572245956e-10,2.92086993366683e-15,6.73882651376022e-10,10
10.2,6.45941475602208e-10,2.49920246187438e-15,6.45938976399746e-10,10
10.4,6.19211453323727e-10,2.14845550322468e-15,6.19209304868224e-10,10
10.6,5.93639244101586e-10,1.8549836893926e-15,5.93637389117897e-10,10
10.8,5.69171464281382e-10,1.60796552097418e-15,5.69169856315861e-10,10
11,5.45757437252984e-10,1.39871952234884e-15,5.45756038533462e-10,10
11.2,5.23349033749773e-10,1.22032023816394e-15,5.23347813429534e-10,10
11.4,5.01900523413289e-10,1.06730729877976e-15,5.0189945610599e-10,10
11.6,4.81368437120563e-10,9.35401610335347e-16,4.81367501718952e-10,10
11.8,4.61711439194675e-10,8.21234947745477e-16,4.61710617959728e-10,10
12,4.42890208574016e-10,7.22119573995374e-16,4.42889486454442e-10,10
12.2,4.24867328090082e-10,6.35871016377807e-16,4.24866692219066e-10,10
12.4,4.07607181105493e-10,5.60681192911389e-16,4.076066204243e-10,10
12.6,3.91075854861009e-10,4.950310256649e-16,3.91075359829983e-10,10
12.8,3.75241049963727e-10,4.37630560134816e-16,3.75240612333167e-10,10
13,3.6007199551756e-10,3.8737688377078e-16,3.60071608140676e-10,10
13.2,3.45539369453796e-10,3.43323161398226e-16,3.45539026130634e-10,10
13.4,3.31615223666516e-10,3.04654643534187e-16,3.31614919011872e-10,10
13.6,3.18272913597201e-10,2.7066924647085e-16,3.18272642927955e-10,10
13.8,3.05487031946799e-10,2.40761358041154e-16,3.05486791185441e-10,10
14,2.93233346222994e-10,2.14408105455135e-16,2.93233131814889e-10,10
14.2,2.8148873985639e-10,1.91157621630943e-16,2.81488548698768e-10,10
14.4,2.70231156642352e-10,1.70618994660085e-16,2.70230986023358e-10,10
14.6,2.59439548285765e-10,1.52453658941472e-16,2.59439395832106e-10,10
14.8,2.49093824844401e-10,1.36368027179101e-16,2.49093688476374e-10,10
15,2.391748078831e-10,1.22107189462031e-16,2.3917468577591e-10,10
15.2,2.29664186165859e-10,1.09449527323173e-16,2.29664076716331e-10,10
15.4,2.20544473726364e-10,9.82021099647914e-17,2.20544375524254e-10,10
15.6,2.11798970169644e-10,8.81967575013031e-17,2.11798881972887e-10,10
15.8,2.03411723068546e-10,7.92866721293289e-17,2.03411643781874e-10,10
16,1.95367492328727e-10,7.13435524858827e-17,1.95367420985174e-10,10
16.2,1.87651716404967e-10,6.42551190592005e-17,1.87651652149848e-10,10
16.4,1.80250480259888e-10,5.79229894297494e-17,1.80250422336898e-10,10
16.6,1.73150484963766e-10,5.22608514692688e-17,1.73150432702915e-10,10
16.8,1.66339018841041e-10,4.71928905787843e-17,1.6633897164815e-10,10
17,1.59803930075498e-10,4.26524337792364e-17,1.59803887423064e-10,10
17.2,1.53533600691944e-10,3.85807791519925e-17,1.53533562111164e-10,10
17.4,1.47516921837555e-10,3.4926183917809e-17,1.47516886911371e-10,10
17.6,1.41743270291047e-10,3.16429884801847e-17,1.41743238648059e-10,10
17.8,1.36202486132382e-10,2.86908571620222e-17,1.36202457441524e-10,10
18,1.30884851509927e-10,2.60341192348176e-17,1.30884825475808e-10,10
18.2,1.25781070445945e-10,2.36411962630645e-17,1.25781046804749e-10,10
18.4,1.20882249624849e-10,2.14841038351935e-17,1.20882228140745e-10,10
18.6,1.16179880112076e-10,1.95380174864238e-17,1.16179860574059e-10,10
18.8,1.11665819954512e-10,1.77808940887017e-17,1.11665802173618e-10,10
19,1.07332277616343e-10,1.61931412304715e-17,1.07332261423202e-10,10
19.2,1.03171796206881e-10,1.47573281694602e-17,1.03171781449553e-10,10
19.4,9.9177238459449e-11,1.34579328443196e-17,9.91772250015161e-11,10
19.6,9.53417724227596e-11,1.22811202003936e-17,9.53417601416394e-11,10
19.8,9.16588578284207e-11,1.12145477416578e-17,9.16588466138729e-11,10
20,8.81222331002436e-11,1.02471947822574e-17,8.81222228530489e-11,10
20.2,8.47258961774063e-11,2.63703092341333e-18,8.47258935403754e-11,10
20.4,8.146411968401e-11,1.94428694838214e-18,8.14641177397231e-11,10
20.6,7.8331399625732e-11,1.74982634648887e-18,7.83313978759056e-11,10
20.8,7.53224706396879e-11,1.60207162832803e-18,7.53224690376162e-11,10
21,7.2432290124459e-11,1.46938362601567e-18,7.24322886550753e-11,10
21.2,6.96560280296737e-11,1.34856580702525e-18,6.96560266811079e-11,10
21.4,6.69890575006644e-11,1.23838631607812e-18,6.69890562622781e-11,10
21.6,6.44269459930122e-11,1.13784039017794e-18,6.44269448551718e-11,10
21.8,6.19654467998298e-11,1.04602975132201e-18,6.19654457538001e-11,10
22,5.96004909657886e-11,9.62145444146648e-19,5.96004900036431e-11,10
22.2,5.73281795679808e-11,8.85458114619835e-19,5.73281786825227e-11,10
22.4,5.5144776345957e-11,8.15309696511024e-19,5.51447755306473e-11,10
22.6,5.30467006644596e-11,7.51106031890447e-19,5.30466999133536e-11,10
22.8,5.10305207932304e-11,6.92310299284e-19,5.10305201009201e-11,10
23,4.90929474890087e-11,6.3843715546851e-19,4.90929468505715e-11,10
23.2,4.72308278655407e-11,5.89047509238156e-19,4.72308272764931e-11,10
23.4,4.54411395380946e-11,5.437438553407e-19,4.54411389943508e-11,10
23.6,4.37209850296264e-11,5.02166105355583e-19,4.37209845274603e-11,10
23.8,4.20675864263644e-11,4.6398785978378e-19,4.20675859623766e-11,10
24,4.04782802711808e-11,4.28913072184972e-19,4.04782798422677e-11,10
24.2,3.89505126836821e-11,3.96673061952424e-19,3.89505122870091e-11,10
24.4,3.74818346964967e-11,3.67023837364808e-19,3.74818343294728e-11,10
24.6,3.60698977977454e-11,3.39743694987477e-19,3.60698974580017e-11,10
24.8,3.47124496701764e-11,3.14631065392133e-19,3.47124493555454e-11,10
25,3.34073301179007e-11,2.91502578591203e-19,3.34073298263981e-11,10
25.2,3.21524671721105e-11,2.70191325600741e-19,3.21524669019191e-11,10
25.4,3.09458733675749e-11,2.50545295204494e-19,3.09458731170296e-11,10
25.6,2.97856421821053e-11,2.32425967336582e-19,2.97856419496794e-11,10
25.8,2.86699446315559e-11,2.15707046569683e-19,2.86699444158489e-11,10
26,2.7597026013283e-11,2.00273321023671e-19,2.75970258130097e-11,10
26.2,2.6565202791323e-11,1.86019633625635e-19,2.65652026053034e-11,10
26.4,2.55728596168701e-11,1.72849954081905e-19,2.55728594440201e-11,10
26.6,2.46184464779401e-11,1.60676541188548e-19,2.46184463172635e-11,10
26.8,2.37004759723948e-11,1.4941918622845e-19,2.37004758229756e-11,10
27,2.28175206987776e-11,1.39004529197669e-19,2.28175205597731e-11,10
27.2,2.19682107596709e-11,1.2936544048635e-19,2.19682106303055e-11,10
27.4,2.11512313725343e-11,1.20440461423286e-19,2.11512312520939e-11,10
27.6,2.03653205832202e-11,1.12173297789747e-19,2.03653204710469e-11,10
27.8,1.96092670775835e-11,1.04512361027624e-19,1.96092669730711e-11,10
28,1.88819080868208e-11,9.74103524182423e-20,1.88819079894104e-11,10
28.2,1.81821273823723e-11,9.08238859990784e-20,1.81821272915484e-11,10
28.4,1.75088533564156e-11,8.47131464231851e-20,1.75088532717025e-11,10
28.6,1.68610571841631e-11,7.90415783562202e-20,1.68610571051215e-11,10
28.8,1.62377510643485e-11,7.37756043541661e-20,1.62377509905729e-11,10
29,1.56379865344561e-11,6.88843684756942e-20,1.56379864655718e-11,10
29.2,1.50608528574025e-11,6.43395031609107e-20,1.5060852793063e-11,10
29.4,1.45054754765326e-11,6.01149171565793e-20,1.45054754164177e-11,10
29.6,1.39710145359338e-11,5.61866024901145e-20,1.39710144797472e-11,10
29.8,1.345666346321e-11,5.25324586935523e-20,1.34566634106775e-11,10
30,1.29616476119864e-11,4.91321326568855e-20,1.29616475628542e-11,10
30.2,1.24852229615396e-11,4.59668726498525e-20,1.24852229155728e-11,10
30.4,1.20266748710667e-11,4.30193951945015e-20,1.20266748280473e-11,10
30.6,1.15853168862171e-11,4.02737635993802e-20,1.15853168459433e-11,10
30.8,1.11604895956217e-11,3.77152770816123e-20,1.11604895579065e-11,10
31,1.0751559535252e-11,3.53303695068027e-20,1.07515594999216e-11,10
31.2,1.03579181385409e-11,3.31065168699254e-20,1.03579181054344e-11,10
31.4,9.97898073029166e-12,3.10321527241773e-20,9.97898069925951e-12,10
31.6,9.61418556248497e-12,2.90965908402272e-20,9.61418553338838e-12,10
31.8,9.26299289018371e-12,2.72899544462251e-20,9.26299286289375e-12,10
32,8.92488408581156e-12,2.56031114601381e-20,8.92488406020845e-12,10
32.2,8.5993607901601e-12,2.40276151811499e-20,8.59936076613249e-12,10
32.4,8.28594409855159e-12,2.25556499566196e-20,8.28594407599594e-12,10
