"fish_level","mean_total","min_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","knife_edge_size","theta","interaction_resource","total_unfished_ref","fraction_of_unfished"
20,0.232715845902287,0.00804015203608058,0.000270945718275,0.232444900184012,0.143439265321604,1.9082807385945,5,1,1.3,0.299321854197908,0.777476962134605
50,0.0442387301857403,0.0372450009272768,0.000184880408988982,0.0440538497767513,0.29309881399665,0.320243923174645,5,1,1.3,0.299321854197908,0.147796525931214
70,0.018273299347152,0.0172828217903137,3.7198000108774e-05,0.0182361013470432,0.142389968187789,0.0945017748315516,5,1,1.3,0.299321854197908,0.0610489982300788
85,0.00327858266255742,0.0030402864052788,4.14612330290118e-06,0.00327443653925452,0.0279345609044048,0.219361376337497,5,1,1.3,0.299321854197908,0.0109533688121204
100,5.66462622355389e-05,8.00551852885583e-06,4.08605366264277e-08,5.66054016989125e-05,0.000517936793896167,1.82433109625683,5,1,1.3,0.299321854197908,0.000189248668084506
1,0.333576950562963,0.10790750658174,0.0138866898286715,0.319690260734291,0.0247953359779894,1.21148082599683,7,1,1.3,0.299321854197908,1.11444234988069
5,0.367030380264862,0.0600728198343807,0.00541844776214146,0.361611932502721,0.0662666192684582,1.57551635691341,7,1,1.3,0.299321854197908,1.2262064233445
9,0.366773872288237,0.0554677465435769,0.00263328594804209,0.364140586340195,0.0782351174122464,1.60260380002417,7,1,1.3,0.299321854197908,1.2253494596012
20,0.293704909319349,0.0166750415165228,0.000804521511968285,0.292900387807381,0.0892936922350001,1.84633742606975,7,1,1.3,0.299321854197908,0.981234431098889
50,0.159722599536663,0.00699954049134131,0.000177357856656231,0.159545241680007,0.191495627093302,1.88953304541596,7,1,1.3,0.299321854197908,0.533614894123489
70,0.110592452909891,0.00920302342162426,0.000131561353744491,0.110460891556147,0.263587038349751,1.81202435415643,7,1,1.3,0.299321854197908,0.369476706624865
85,0.0850518092247548,0.016728531876287,0.000119282318499395,0.0849325269062554,0.290438347568466,1.59000939732472,7,1,1.3,0.299321854197908,0.284148344104936
100,0.0686526483921977,0.0331621832895557,0.000112858438985302,0.0685397899532124,0.330597994495323,1.03866039260992,7,1,1.3,0.299321854197908,0.229360627797011
1,0.314044880040076,0.121019215377351,0.0175991060833176,0.296445773956758,0.0175991060833176,1.11557004058206,10,1,1.3,0.299321854197908,1.04918794146061
5,0.362407150431156,0.0888678992747267,0.00921578854712806,0.353191361884028,0.0460789427356403,1.37283099598633,10,1,1.3,0.299321854197908,1.2107607424867
