"rel_amplitude","mean_yield","window","fish_level","schedule","mean_effort","resource_decrease","n_peaks","n_troughs"
1.49416857417046,2.26390213746918e-05,1.5,1,"Troughs only",0.592814371257485,0.00203780269369432,45,45
1.29415751116559,2.48757453740588e-05,3,1,"Peaks only",0.736526946107784,0.00203780269369432,45,45
1.33287243435496,3.20224925290797e-05,3,1,"Troughs only",0.93812375249501,0.00203780269369432,45,45
1.19620003583428,7.52716835269243e-06,NA,0.2,"Constant",0.2,0.00269898553820688,31,32
1.22876131157535,2.23696590051159e-05,NA,0.6,"Constant",0.6,0.00269898553820688,31,32
1.19303179640603,3.17735692346632e-05,NA,1,"Constant",1,0.00269898553820688,31,32
1.14628367347048,2.00013879106194e-06,0.5,0.2,"Peaks only",0.037125748502994,0.00269898553820688,31,32
1.23943054045303,1.19485902987856e-06,0.5,0.2,"Troughs only",0.0383233532934132,0.00269898553820688,31,32
1.15826331312946,4.39694325061743e-06,1.5,0.2,"Peaks only",0.086626746506986,0.00269898553820688,31,32
1.22060348168903,3.4910762922208e-06,1.5,0.2,"Troughs only",0.088622754491018,0.00269898553820688,31,32
1.1155668282258,6.92381833869837e-06,3,0.2,"Peaks only",0.149301397205589,0.00269898553820688,31,32
1.21016200523134,6.70328334383904e-06,3,0.2,"Troughs only",0.166067864271457,0.00269898553820688,31,32
1.16551288878969,5.66488062308652e-06,0.5,0.6,"Peaks only",0.111377245508982,0.00269898553820688,31,32
1.24444296683223,4.26632798832545e-06,0.5,0.6,"Troughs only",0.11497005988024,0.00269898553820688,31,32
1.29770822078273,1.0321386499827e-05,1.5,0.6,"Peaks only",0.259880239520958,0.00269898553820688,31,32
1.27139990178191,9.92610224788336e-06,1.5,0.6,"Troughs only",0.265868263473054,0.00269898553820688,31,32
1.13810548158581,1.84168040435607e-05,3,0.6,"Peaks only",0.447904191616766,0.00269898553820688,31,32
1.19505541170868,1.90766637937087e-05,3,0.6,"Troughs only",0.498203592814371,0.00269898553820688,31,32
1.21022058953111,9.05280726062838e-06,0.5,1,"Peaks only",0.18562874251497,0.00269898553820688,31,32
1.27754194316921,7.02218150058865e-06,0.5,1,"Troughs only",0.191616766467066,0.00269898553820688,31,32
1.40906686912313,1.48026703785247e-05,1.5,1,"Peaks only",0.43313373253493,0.00269898553820688,31,32
1.30674130019058,1.57047353438356e-05,1.5,1,"Troughs only",0.44311377245509,0.00269898553820688,31,32
1.23741578639694,2.63794851149124e-05,3,1,"Peaks only",0.746506986027944,0.00269898553820688,31,32
1.17249688451952,2.89637323275321e-05,3,1,"Troughs only",0.830339321357285,0.00269898553820688,31,32
1.01940148569784,7.20597853919975e-06,NA,0.2,"Constant",0.2,0.00357469491918464,33,33
1.02007484393696,2.06079776351927e-05,NA,0.6,"Constant",0.6,0.00357469491918464,33,33
0.971786676721744,3.08551137850134e-05,NA,1,"Constant",1,0.00357469491918464,33,33
0.961964742322199,1.94680054280446e-06,0.5,0.2,"Peaks only",0.0395209580838323,0.00357469491918464,33,33
